,Title,Year,Plot,Rating,Budget,Cast,MPA Rating,Directors,Distributors,Producers,Genre,Runtime in Minutes
508,11. The Creator,2023,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the robots' secret weapon to end the conflict, an AI in the form of a child. Amid a future war between the human race and the forces of artificial intelligence, Joshua, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war-and mankind itself.—20th Century Studios",6.7,"$80,000,000 (estimated)","John David Washington,Madeleine Yuna Voyles,Gemma Chan,Allison Janney,Ken Watanabe,Sturgill Simpson,Amar Chadha-Patel,Marc Menchaca,Robbie Tann,Ralph Ineson,Michael Esper,Veronica Ngo,Ian Verdun,Daniel Ray Rodriguez,Rad Pereira,Syd Skidmore,Karen Aldridge,Teerawat Mulvilai,Leanna Chea,Sahatchai Chumrum,Apiwantana Duenkhao,Mariam Khummaung,Natthaphong Chaiyawong,Tawee Teesura,Kulsiri Thongrung,Charlie McElveen,Chananticha Chaipa,Sawanee Utoomma,Monthatip Suksopha,Brett Bartholomew,Jeb Kreager,Mackenzie Lansing,Stephen Howard Thomas,Agneta Catarina Békassy de Békas,Brett Parks,Phaithoon Wanglomklang,Ron Weaver,Maverick Kang Jr.,John Garrett Mahlmeister,Scott Thomas,Kandanai Chotikapracal,Niko Rusakov,James Henry,Eoin O'Brien,Dana Blouin,Anjana Ghogar,Pongsanart Vinsiri,Molywon Phantarak,Chalee Sankhavesa,Pat Skelton,Elliot Berk,Art Ybarra,Darina Boonchu,Carlo Natale",PG-13,Gareth Edwards,"20th Century Studios,Disney+,Hulu,20th Century Studios,Cineforum,Feelgood Entertainment,Forum Hungary,HKC Entertainment,Kinomania,NOS Audiovisuais,The Walt Disney Company Iberia,Walt Disney Studios Motion Pictures Argentina,Walt Disney Studios Motion Pictures Finland,Walt Disney Studios Motion Pictures Germany,Walt Disney Studios Motion Pictures Japan,Walt Disney Studios Motion Pictures Mexico,Walt Disney Studios Motion Pictures Norway,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures, Italia,Walt Disney Studios Home Entertainment,Walt Disney Studios Home Entertainment,Walt Disney Studios Home Entertainment","20th Century Studios,New Regency Productions,Entertainment One","Action,Adventure,Drama,Sci-Fi,Thriller",133
509,12. A Haunting in Venice,2023,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer. In eerie, post-World War II Venice on All Hallows' Eve, Hercule Poirot is now retired and living in self-imposed exile in the world's most glamorous city. But when Poirot reluctantly attends a séance at a decaying, haunted palazzo, one of the guests is murdered, thrusting the detective into a sinister world of shadows and secrets.—20th Century Studios Ten years after the events of Death on the Nile (2022), Belgian master detective Hercule Poirot now enjoys a sleuthing-free retirement in 1947 Venice, Italy. But a leopard never changes its spots. Suspicious by nature, Poirot reluctantly accompanies an insisting mystery novelist friend to a Halloween séance to debunk the myth about the supernatural. Instead, a gruesome murder has both desperate believers and shrewd cynics guessing. After all, everyone has skeletons in their closet. As the unprepared guests' hushed whispers echo off the barren walls, a sinister blend of tingling uncertainty and lingering dread invites hair-raising questions. Is the pained hostess' home haunted? With the past's guilty secrets demanding closure and justice, is weary Poirot starting to see ghosts?—Nick Riganas",6.5,"$60,000,000 (estimated)","Kenneth Branagh,Dylan Corbett-Bader,Amir El-Masry,Riccardo Scamarcio,Fernando Piloni,Lorenzo Acquaviva,Tina Fey,David Menkin,Camille Cottin,Kelly Reilly,Jude Hill,Yaw Nimako-Asamoah,Jamie Dornan,Clara Duczmal,Rowan Robinson,Michelle Yeoh,Emma Laird,Stella Harris,Emilio Villa-Muhammad,Vanessa Ifediora,Kyle Allen,Ali Khan,Esther Rae Tillotson,Winnie Soldi,Cristian Canova,Richard Price,Andreea Ungureanu",PG-13,Kenneth Branagh,"Feelgood Entertainment,Filmfinity,Forum Hungary,HKC Entertainment,Kinomania,NOS Audiovisuais,Press Play Pictures,Twentieth Century Fox,Walt Disney Studios Motion Pictures Argentina,Walt Disney Studios Motion Pictures Germany,Walt Disney Studios Motion Pictures International,Walt Disney Studios Motion Pictures Mexico,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures, Italia,Disney+,Walt Disney Studios Home Entertainment,Walt Disney Studios Motion Pictures Finland,Amazon Instant Video,Disney+,Google Play,MagentaTV,Maxdome Store,Maxdome,Rakuten TV,SF Film Finland,Sky Store,Videoload,Walt Disney Studios Home Entertainment,Youtube Filme & TV,iTunes","20th Century Studios,Kinberg Genre,Scott Free Productions,TSG Entertainment,The Mark Gordon Company","Crime,Drama,Horror,Mystery,Thriller",103
510,13. No One Will Save You,2023,"An exiled anxiety-ridden homebody must battle an alien who's found its way into her home. With haunting guilt and crushing sadness as her only companions, Brynn, an unloved and friendless dressmaker, has learned to find solace in her intricate everyday routine. And isolated within her eerily vacant childhood home, Brynn expects no visitors. Then, a blood-chilling noise in the dead of night awakens her. As the sheer terror of a home invasion demands a clear mind to fight back, Brynn must brace herself for a long, unimaginable ordeal. After all, the eccentric recluse is about to discover that not all housebreakings are the same, especially when the dangerous intruder is something other than human.—Nick Riganas",6.3,N/A,"Kaitlyn Dever,Elizabeth Kaluev,Zack Duhame,Lauren L. Murray,Geraldine Singer,Dane Rhodes,Daniel Rigamer,Evangeline Rose,Dari Lynn Griffin,Gabrielle Bordlee,Tenaj L. Jackson,Emani White,Nathalie J. Alarcon,John Cortes,Ginger Cressman,Rose Bianca Grue,Bridget Malbrough,Devyn Sandidge",PG-13,Brian Duffield,"Hulu,Disney+,Star+,Disney+","20th Century Studios,Star Thrower Entertainment","Horror,Mystery,Sci-Fi,Thriller",93
511,14. Maestro,2023,"This love story chronicles the lifelong relationship of conductor-composer Leonard Bernstein and actress Felicia Montealegre Cohn Bernstein. Maestro will tell the complex love story of Leonard and Felicia, a story that spans over 30 years-from the time they met in 1946 at a party and continuing through two engagements, a 25 year marriage, and three children: Jamie Bernstein, Alexander Bernstein and Nina Bernstein Simmons. Leonard Bernstein an extremely talented music composer cum conductor reaches great heights in his profession due to his passion, hard work and dedication. However his married life to an actress Felicia Montealegre does not run smooth due to his transgressions and his unfaithful nature.—Madan Marwah During the 1940s, American composer/conductor Leonard Bernstein became famous for his intricate work. He was in a romantic relationship with clarinettist David Oppenheim until he met an actress, Felicia Montealegre, who inspired him in ways he had never experienced before. They soon began a relationship and eventually got married. Throughout the years, Leonard found success in Hollywood, but he always had a passion for sophisticated music, which led him to search for more complex sounds and compositions. However, his character affected his relationship with Felicia. Three children later, Felicia couldn't deal with the stress anymore, and tired of looking the other way, she abandoned him--a pivotal decision that forced Leonard to face himself and his mistakes.—Nick Riganas",6.5,"$80,000,000 (estimated)","Carey Mulligan,Bradley Cooper,Matt Bomer,Vincenzo Amato,Greg Hildreth,Michael Urie,Brian Klugman,Nick Blaemire,Mallory Portnoy,Alexandra Santini,Jarrod LaBine,Sarah Silverman,Kate Eastman,William Hill,Valéry Lessard,Renée Stork,Tim Rogan,Sara Sanderson,Yasen Peyankov,Julia Aku,Benjamin Freemantle,Harrison Coll,Sebastian Villarini-Velez,Dario Natarelli,Ryan Steele,Ricky Ubeda,Carlos Sanchez Falu,Jeanette Delgado,Sara Esty,Ahmad Simmons,Kyle Coffman,Byron Tittle,Yesenia Ayala,Skye Mattox,Halli Toland,Leigh-Ann Esty,Gaby Diaz,Tanairi Sade Vazquez,Lea Cooper,Soledad Campos,Zachary Booth,Miriam Shor,Maya Hawke,Scott Ellis,James Cusati-Moyer,John Kroft,Scott Drummond,Gideon Glick,Josh Hamilton,June Gable,Sam Nivola,Alexa Swinton,Mike Mitarotondo,Colin Anderson,Kevin Thompson,Rosa Feola,Isabel Leonard,Miller Bugliari,Atika Greene,Gabe Fazio,Jordan Dobson,Elaine Apruzzese,Portia Backus,Leonard Bernstein,Roger Brenner,Eric Patrick Cameron,DJ Nino Carta,Olivia Rae Casper,Bern Collaço,Daniela Dakich,Makeda Diggs,Richard L. Entrup,Connor Ford,Ira Gamerman,Madeline Gullett,Daryll Heysham,Ken Holmes,Ty Hurley,Adam J. Jackson,Samantha Kelly,Bob Leszczak,Gabrielle Manna,Sandro Naglia,Kristi Noory,Eric Parkinson,Richard Sexton,Emily Tebbutt,Lynne Valley,Jace Wade,Thomas Dodge Wheatley,Lauren Yaffe",R,Bradley Cooper,"24 Bilder Filmagentur,Altitude Film Entertainment,Ascot Elite Entertainment Group,Maco,NOS Audiovisuais,Netflix,O2 Play,Pimienta Films,The Film Group,Netflix,Netflix","Sikelia Productions,Amblin Entertainment,Lea Pictures,Fred Berner Films,Netflix","Biography,Drama,History,Music,Romance",129
512,15. Expend4bles,2023,"Armed with every weapon they can get their hands on, the Expendables are the world's last line of defense and the team that gets called when all other options are off the table. A new generation of stars join the world's top action stars for an adrenaline-fueled adventure in Expend4bles. Reuniting as the team of elite mercenaries, Jason Statham, Dolph Lundgren, Randy Couture, and Sylvester Stallone are joined for the first time by Curtis ""50 Cent"" Jackson, Megan Fox, Tony Jaa, Iko Uwais, Jacob Scipio, Levy Tran, and Andy Garcia. Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world's last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give ""new blood"" a whole new meaning.—Lionsgate A crisis is looming in Libya as the notorious arms dealer Rahmat leads his mercenary army to a chemical plant to steal detonators for his boss. The goal is clear: ignite World War III with nuclear weapons at all costs. Contracted by CIA operative Marsh to intercept Rahmat, it is up to Ross' team to stop the menace after surviving hell in The Expendables 3 (2014). However, Barney's finest are walking straight into a trap. And as if that weren't enough, direct disobedience results in disastrous consequences that further hinder the unit. But there's no room for error. Now confronted with the ugly, irreversible reality, The Expendables and the team's new blood have one last chance to right a wrong and stop the warmonger before they all discover how disposable they are. The stakes are high, and the threat is real. Can Ross' death squad do the impossible one more time?—Nick Riganas Barney Ross is assigned to travel with Lee Christmas, Toll Road, Gunner Jensen, Easy Day and Galan to a plant in Lybia to avoid that mercenary Rahmat and his men from stealing nuclear warheads from the facility. They have a showdown with Rahmat and his men that escapes with the warheads after shooting Barney's airplane that crashes. They find Barney's charred body in the wreckage, identified only by his inseparable ring. After the memorial service in New Orleans, CIA agent Marsh assigns the team to hunt down Rahmat and his chief Ocelot, whose identity is unknown. However, he replaces Christmas by his lover Gina, goes with them and brings the woman Lash to join the team, but Christmas track them down using a tracking device in Gina's dagger. In Thailand, he teams up with Barney's friend Decha that uses his boat to follow the ship where the mercenaries landed. However, they are ambushed and captured by Rahmat and his men, and he intends to use Marsh to be exchanged by a terrorist that knows Ocelot and is capable to identify him. Now they conclude that there is an informer in the group. But who?—Claudio Carvalho, Rio de Janeiro, Brazil",4.8,"$100,000,000 (estimated)","Jason Statham,50 Cent,Megan Fox,Dolph Lundgren,Tony Jaa,Iko Uwais,Andy Garcia,Sylvester Stallone,Randy Couture,Jacob Scipio,Levy Tran,Lucy Newman-Williams,Daren Nop,Kenny 'Cowboy' Bartram,Cody Mackie,Cokey Falkow,Dan Chupong,Karim Saidi,Sam Black,Adam Masto,Sheila Shah,Nicole Andrews,Oat Jenner,Susanne Potrock,Eddie Hall,Mike Möller,Alexander Hristozov,Antoni Davidov,David Nop,Igor Pecenjev,Stefan Ivanov,Vladimir Mihaylov,Martin Ghiaurov,Tjasa Perko,Stefan Bahrun,Assen Karanikolov,Kenny Bartram,Kateryna Globa,Bozhidar Hristov,John Riho Kim,Jason Lines,Phill Webster,Caroline Wilde",R,Scott Waugh,"Ascot Elite Entertainment Group,California Filmes,Cinemanse,Cineplex Pictures,Constantin Film,Dutch FilmWorks (DFW),Eagle Films,Empire Entertainment,Forum Hungary,Global Film,HKC Entertainment,Imagem Filmes,Imagem Films,Kinomania,Leonine Distribution,Lionsgate,Lionsgate,Lionsgate,MVP Pictures,MVP Pictures,MVP,Metropolitan Filmexport,Multivision Multimedia India,Playgram,Pony Canyon,Roadshow Films,Sabay MVP,The Film Group,Vértice 360,Warner Bros. Singapore,Warner Bros.,Amazon Prime Video,Apple TV+,BGFilm,Leonine Distribution,Leonine Distribution,Leonine Distribution,Lionsgate Home Entertainment,Lionsgate Home Entertainment,Lionsgate Home Entertainment,Lionsgate Home Entertainment,Lionsgate,Lionsgate,Lionsgate,Metropolitan Filmexport,Metropolitan Filmexport,Metropolitan Filmexport,Mis. Label,NOS Audiovisuais,Peacock,Plaion Pictures,Roadshow Entertainment,Roadshow Entertainment,Starz,Sub,The Roku Channel,Top Film Distribution","Campbell Grobman Films,Media Capital Technologies,Millennium Films","Action,Adventure,Thriller,War",103
513,16. In the Land of Saints & Sinners,2023,"A disillusioned hitman comes out of retirement for one last job when an IRA bomber on the run from the law arrives in his sleepy Irish village. Passing a quiet existence in a small Irish village, World War II veteran and widower Finbar Murphy leads a double life as a hitman working for an underworld boss, but ""The Troubles"" in Ireland have come to his town and pull him back into the world of vigilante justice.—lynne-powell Hoping to leave his dark past behind him, former assassin Finbar Murphy leads a quiet life in a coastal Irish town, far from the political violence that grips the rest of the country. When menacing terrorists show up, Finbar soon discovers that one of them has been abusing a local girl. Drawn into an increasingly vicious game of cat and mouse, he must choose between exposing his secret identity and defending his friends and neighbors.—tpsimpleman The legendary assassin Finbar decides that he is no longer so good and it's time for him to retire. But one day a gang comes to the city where he lay low and begins mayhem. Finbar has no choice but to side with justice and take up arms again. And this time he risks not only himself, but also everyone who is dear to him.—Tango Papa",6.4,N/A,"Kerry Condon,Desmond Eastwood,Conor MacNeill,Seamus O'Hara,Bernadette Carty,Liam Neeson,Ciarán Hinds,Manus Brennan,Niamh Cusack,Michelle Gleeson,Tim Landers,Mark O'Regan,Jack Gleeson,Colm Meaney,Anne Brogan,Conor Hamill,Sarah Greene,Valentine Olukoga,Laura Hughes,Joe Gallagher,Mark Connolly,James Sadat",R,Robert Lorenz,"Dutch FilmWorks (DFW),Exponenta,Kinepolis Film Distribution (KFD),Metropolitan Filmexport,Samuel Goldwyn Films,Spentzos Films,Ukrainian Film Distribution (UFD),Amazon Prime Video,Amazon Prime Video,Dutch FilmWorks (DFW),Dutch FilmWorks (DFW),Eagle Films,Madman Entertainment,Madman Films,Metropolitan Film & Video,Metropolitan Film & Video,Mis. Label,NOS Audiovisuais,Netflix,Netflix,Scene & Sound,Signature Entertainment,Sony Pictures Worldwide Acquisitions (SPWA),United King Films,Vértice 360,Vértice 360,Vértice 360","Facing East Entertainment,Jumpy Cow Pictures,London Town Films,Saga Film,Bleiberg Entertainment,Davis Films,Great Point Media,Merlin Films,Prodigal Films","Action,Crime,Thriller",106
514,17. Priscilla,2023,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend. When teenage Priscilla Beaulieu meets Elvis Presley at a party, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend. Through Priscilla's eyes, Sofia Coppola tells the unseen side of a great American myth in Elvis and Priscilla's long courtship and turbulent marriage, from a German army base to his dream-world estate at Graceland, in this deeply felt and ravishingly detailed portrait of love, fantasy, and fame.—A24 Bad Nauheim, Germany, 1959. Experiencing a sense of isolation and ennui, a 14-year-old Priscilla Presley encounters an individual with ties to Elvis Presley, who promptly arranges for her to meet the music icon. Impressed by her, Elvis fervently pursues Priscilla, but his career interferes with their budding connection. They reunite in 1962, with Elvis using his charisma to gain her parents' approval. Captivated by his passion, Priscilla relocates to Graceland, a mansion in Memphis, where they establish a life together. However, jealousy blemishes their coexistence as Elvis engages in film projects in California, often surrounded by admiring actresses. As time progresses, a darker undertone veils their tempestuous relationship.—Nick Riganas",6.5,"$20,000,000 (estimated)","Cailee Spaeny,Jacob Elordi,Ari Cohen,Dagmara Dominczyk,Tim Post,Lynne Griffin,Dan Beirne,Rodrigo Fernandez-Stoll,Dan Abramovici,Matthew Shaw,Tim Dowler-Coltman,R Austin Ball,Olivia Barrett,Stephanie Moore,Luke Humphrey,Deanna Jarvis,Jorja Cadence,Josette Halpert,Evan Annisette,Stephanie Moran,Daniel Lipka,Raine Monroe Boland,Emily Mitchell,Kamilla Kowal,Gwynne Phillips,Conni Miu,Megan Dallan,Tonia Venneri,Erin Mackinnon,Mary Kelly,Paige Leblanc,Anna Mirodin,Sarah Dodd,Alanis Peart,Kelaiah Guiel,Andrew Mackay,Kelly Irene Whyte,Shawn Gordon Fraser,Kassandra C.A. Gray,Fegan DeCordova,Kelly Penner,Natalia Aimola,Bryn Brouwers,Preston Galli,Carl Hines,Katie Layne,Alex Milner,Erin O'Brien",R,Sofia Coppola,"MUBI,A24,ADS Service,ARP Sélection,Arthouse Traffic,BTeam Pictures,Best Film,BfParis,Capella Film,Cinéart,CreaZion Studios,Elevation Pictures,Elástica Films,Filmcoopi Zürich,Gaga,Lev Cinemas,MUBI,MUBI,MUBI,MUBI,Madman Entertainment,Madman Films,Movie Cloud,Nordisk Film,Nordisk Film,Nordisk Film,Nordisk Film,Nos Lusomundo Audiovisuais,O2 Play,Spentzos Films,Vision Distribution,Capella Film,Cinemax,Front Row Filmed Entertainment,Lionsgate Home Entertainment,Lionsgate Home Entertainment,MUBI,MUBI,MUBI,MUBI,MUBI,MUBI,Max","American Zoetrope,The Apartment,Fremantle,Standalone Pictures","Biography,Drama,Music,Romance",113
515,18. Reptile,2023,"Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life. Summer Elswick, a real estate agent, is found brutally murdered in a for-sale house by her colleague and boyfriend, Will Grady. On the case is veteran detective Tom Nichols. His investigations lead him to Elswick's ex-husband, Sam Gifford, who is now the prime suspect. Could it be that cut-and-dried though?—grantss",6.8,N/A,"Benicio Del Toro,Justin Timberlake,Eric Bogosian,Alicia Silverstone,Domenick Lombardozzi,Frances Fisher,Ato Essandoh,Michael Pitt,Karl Glusman,Mike Pniewski,Matilda Lutz,Catherine Dyer,Thad Luckinbill,Michael Beasley,JC Capone,Sky Ferreira,James Devoti,Amy Parrish,Elizabeth Houston,Jesse C. Boyd,Owen Teague,Matt Medrano,Tom Nowicki,Michael Rene Walton,Danial Mitchell,Mel Pralgo,Steve Wedan,Africa Miranda,Tony Bartele,Danny Bevins,Bonita Elery,Dianna Catterton,Kathryn Boyd Brolin,Laura Whyte,Lee Perkins,Kurt Yue,Aerial Nicole,Monique Grant,Elena Varela,Jon Levine,Dani Deetté,Jp Lambert,Shelli Delgado,Gregory Albrecht,Mark Pettit,Kathleen Hogan,Gilbert Glenn Brown,Matthew Cornwell,Allison Smith,Victor Rasuk,Steven Robert Crews,Tiffany Fallon,Deena Beasley,Alex Parkinson,Steven McCormack,Brooke Jaye Taylor,Andrew Lyons,Bruce Penfold,Matthew Daniel,John Gettier,Krystal Barrera,Regina Ting Chen,Grant Weaver,Yael Ocasio,Brisco De Poalo,Tanner Smith,Jamie Renell,Chris Lindsey,Patrick Martin,Martin Singer,Jacqueline Singer,Ishan Seth,Matthew Morley Daniel,Andzelika Bobrova,Walter J. Buck,Linda E. Burkhart,Christopher Cocke,Walker O'Duggan,Kimi Price Queguiner,Nolan Farrell Rice,Casey Shirley,Juan Szilagyi,Robert Tinsley,Michael Woodruff",R,Grant Singer,"Netflix,Netflix",Black Label Media,"Crime,Drama,Mystery,Thriller",134
516,19. Boy Kills World,2023,"A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death. Boy, a mayhem machine with a hilarious inner voice, has been trained from childhood by his mentor to assassinate the bloodthirsty Hilda Van Der Koy and avenge his family's murder. Guided by his little sister's mischievous spirit, Boy uncovers one stunning revelation after another as he barrels toward Hilda, leading to a shocking, carnage-crazed finale.—Lionsgate Boy, a sinewy beacon of determination, is on a mission from God. After all, the thirst for revenge fuels his feverish quest; no matter what, Hilda Van Der Koy, the ruthless ruler of a corrupt empire that left him orphaned, deaf, and mute, must die. Now molded into a tempestuous instrument of pure vengeance by a mysterious shaman, the boy finally unleashes his pent-up anger in the savage dystopia on the brink of The Culling, a televised annual purge of dissidents. As a result, chaos reigns as the boy navigates a delirious kingdom of pain after joining a defiant resistance group fighting for justice. However, questions loom large. Is the young rebel the ultimate force of destruction? Can a boy kill the world?—Nick Riganas",6.4,N/A,"Bill Skarsgård,Jessica Rothe,Michelle Dockery,Brett Gelman,Isaiah Mustafa,Yayan Ruhian,Cameron Crovetti,Nicholas Crovetti,Quinn Copeland,Andrew Koji,Sharlto Copley,H. Jon Benjamin,Famke Janssen,Dawid Szatarski,Dorothy Ann Gould,Rolanda Marais,Jane de Wet,Jody Abrahams,Ilse Klink,Jasmine Maylam,Kevin Otto,Nicky Rebelo,Nena Butler,Zainab Azizi,Katherine Neethling,Blake Isaacs,Frances Sholto-Douglas,Inge Beckmann,Pierre Nelson,Natalia Aleksandrowa,Martin Munroe,Ashley Dowds,Lionel Newton,Caleb Payne,Morné Visser,Reza Brojerdi,Gershwin Mias,François Chau,Mo Kaufman,Shane John Kruger,Conner Ronquest",R,Moritz Mohr,"Lionsgate,Roadside Attractions,BfParis,Cathay,Constantin Film,Corazón Films,Dutch FilmWorks (DFW),Empire Entertainment,Karoprokat,MM2 Entertainment,Nathan Studios,Noble Entertainment,Paris Filmes,Signature Entertainment,The Film Group,Venus Films,Amazon Prime Video,Apple TV+,Constantin Film,Constantin Film,Hulu,Lionsgate Home Entertainment,Lionsgate Home Entertainment,NOS Audiovisuais,Top Film Distribution,VVS Films,VVS Films","Nthibah Pictures,Raimi Productions,Ventaro Film","Action,Crime,Thriller",111
517,20. Dream Scenario,2023,"An ordinary family man finds his life turned upside down when strangers suddenly start seeing him in their dreams. Nicolas Cage stars as Paul Matthews, a listless family man and tenured professor with an affinity for evolutionary biology and anxiety regarding his own anonymity. One day, he discovers he has begun to appear in other people's dreams at an exponential rate. As in life, his presence in these dreams is banal and non-intrusive - he's simply there, staring indifferently at the fantasies and nightmares of strangers. Nonetheless, he becomes an overnight celebrity, and is soon showered with the attention he has long been denied. But when Paul encounters a dreamer whose visions of him differ substantially from the norm, he finds himself grappling with the Faustian bargain of fame as his dream-selves start inexplicably becoming violent within their respective subconsciousnesses.—Studio For reasons unknown, Paul Matthews, a self-absorbed college professor who wouldn't hurt a fly, appears in other people's dreams--his dull academic doppelgänger, to be precise. That's right; even perfect strangers, ignorant of the oneiric intruder's identity, suffer similar symptoms. As a result, the worldwide phenomenon thrusts the marvellous nobody into the limelight. At last, that should teach everyone a lesson; like it or not, the world will learn to love the innocuous boogeyman and appreciate his work. However, poor Paul never had the guts to follow through on his goals and ambitions--procrastination has always been his middle name. And as soon as the only thing that had made others respect Paul backfired, sheer terror replaced the fame that came so suddenly, ruining everything. After all, life is, and will always be, unfair. Now, Paul feels cancelled. But who was he trying to fool in the first place?—Nick Riganas",6.8,N/A,"Lily Bird,Nicolas Cage,Julianne Nicholson,Jessica Clement,Star Slade,David Klein,Kaleb Horn,Liz Adjei,Paula Boudreau,Marnie McPhail,Noah Lamanna,Tim Meadows,Dylan Baker,Maev Beaty,Marc Coppola,Krista Bridges,Conrad Coates,Marnie Brunton,Nneka Elliott,Jeremy Levick,Jim Armstrong,Ben Steele Caldwell,Agape Mngomezulu,Stephen R. Hart,Leah Stanley,Sofia Banzhaf,Al Warren,Thomas Mitchell,Dylan Gelula,Michael Cera,Kate Berlant,Caleb Weatherbee,Cara Volchoff,Greer Cohen,James Collins,Jennifer Wigmore,Ramona Gilmour-Darling,Will Corno,Talia Schlanger,Jessie-Ann Kohlman,Alton Mason,Noah Centineo,Josh Richards,Amber Midthunder,Nicholas Braun,Lily Gao,Philip Van Martin,Richard Jutras,Nicole Leroux,Jordan Raf,Domenic Di Rosa,Jesse Goldman,Trish Hoang",R,Kristoffer Borgli,"TME Films,Zima Entertainment,A24,California Filmes,DCM Film Distribution,Empire Entertainment,Exponenta,Imagem Films,Metropolitan Filmexport,Tanweer Alliances,2x2,Cinemax,Falcon Pictures,Frenetic Films,KlikFilm,Leonine Distribution,Leonine Distribution,Leonine Distribution,Max,NOS Audiovisuais,The Searchers,The Searchers,VVS Films,VVS Films,VVS Films,Vértigo","A24,Square Peg,Quebec Film and Television Tax Credit","Comedy,Drama,Fantasy,Horror",102
518,21. One Life,2023,"Sir Nicholas 'Nicky' Winton, a young London broker who, in the months leading up to World War II, rescued over 600 children from Nazi-occupied Czechoslovakia. The true story of Sir Nicholas 'Nicky' Winton, a young London broker who, in the months leading up to World War II, rescued 669 predominantly Jewish children from the Nazis. Nicky visited Prague in December 1938 and found families who had fled the rise of the Nazis in Germany and Austria, living in desperate conditions with little or no shelter and food, and under threat of Nazi invasion. He immediately realized it was a race against time. How many children could he and the team rescue before the borders closed? Fifty years later, it's 1988 and Nicky lives haunted by the fate of the children he wasn't able to bring to safety in England; always blaming himself for not doing more. It's not until a live BBC television show, 'That's Life', surprises him by introducing him to some surviving children - now adults - that he finally begins to come to terms with the guilt and grief he had carried for five decades.",7.5,N/A,"Anthony Hopkins,Lena Olin,Johnny Flynn,Helena Bonham Carter,Tim Steed,Matilda Thorpe,Daniel Brown,Alex Sharp,Jirí Simek,Romola Garai,Barbora Váchová,Juliana Moska,Jolana Jirotková,Michal Skach,Samuel Himal,Matej Karas,Ella Novakova,Martin Bednár,Petr Jenista,Samuel Finzi,Michal Rones,Darren Clarke,Katerina Jebavá,Nick Blakeley,Kiana Klysch,Sean Brodeur,Frantiska Polakova,Alzbeta Cerna,Dan Vynohradnyk,Max Vynohradnyk,Antonie Formanová,Rút Schmidtová,Tom Glenister,Michael Gould,Ziggy Heath,Beáta Mikusová,Janusz Hummel,Michaela Hráská,Jiri Vales,Katerina Kocichová,Milan Ligac,Adrian Rawlins,Samantha Spiro,Stuart Ramsay,Matilda Bedford,Jonathan Pryce,Charles Armstrong,Angus Kennedy,Lukás Král,Vilma Frantová,Ales Bílík,Jaromíra Mílová,Simon Thorp,Liam Smith,Marie-Claire Wood,Marthe Keller,Eliska Jechova,Justin Svoboda,Joe Weintraub,Barbora Cerná,Ffion Jolly,Richard Popple,Emily Laing,Henrietta Garden,Anna Darvas,Jonathan Tafler,Alma Solomon,John Bain,Allan Cook,Anna Datiashvili,Daniel Charles Doherty,Joel Edwards,Anna Eliseeva,Valerie Hazan,Robin Howland,Alara-Star Khan,Ágnes V. Móricz,Queen Elizabeth II,Kemal Shah,Edward Terry,Bitu Thomas,Michael van Koetsveld,Alan D West,Stuart Whelan,Nicholas Winton",PG,James Hawes,"Ascot Elite Entertainment Group,BGFilm,Bleecker Street Media,Diamond Films,Diamond Films,Diamond Films,Exponenta,Forum Hungary,SND Films,Shaw Organisation,Spentzos Films,SquareOne Entertainment,The Searchers,The Searchers,Warner Bros. Pictures,Falcon Pictures,KlikFilm,Leonine Distribution,Leonine Distribution,NOS Audiovisuais,Paramount+,Remain In Light,Remain In Light","See-Saw Films,MBK Productions,BBC Film","Biography,Drama,History",109
